       Time || Res L R || LA LB LC RA RB RC
          5 ||  1  0 0 || 0  0  0  0  0  0
         10 ||  1  0 0 || 0  0  0  0  0  0
         15 ||  1  0 0 || 0  0  0  0  0  0
         20 ||  0  0 0 || 0  0  0  0  0  0
         25 ||  0  1 0 || 0  0  0  0  0  0
         30 ||  0  1 0 || 0  0  0  0  0  0
         35 ||  0  1 0 || 1  0  0  0  0  0
         40 ||  0  0 0 || 1  0  0  0  0  0
         45 ||  0  0 1 || 1  1  0  0  0  0
         50 ||  0  0 1 || 1  1  0  0  0  0
         55 ||  0  0 1 || 1  1  1  0  0  0
         60 ||  0  0 1 || 1  1  1  0  0  0
         65 ||  0  0 1 || 0  0  0  0  0  0
         70 ||  0  1 1 || 0  0  0  0  0  0
         75 ||  0  1 1 || 0  0  0  1  0  0
         80 ||  0  1 1 || 0  0  0  1  0  0
         85 ||  0  1 1 || 0  0  0  1  1  0
         90 ||  0  1 1 || 0  0  0  1  1  0
         95 ||  0  1 1 || 0  0  0  1  1  1
        100 ||  0  1 1 || 0  0  0  1  1  1
        105 ||  0  1 1 || 0  0  0  0  0  0
        110 ||  0  1 1 || 0  0  0  0  0  0
        115 ||  0  1 1 || 1  0  0  1  0  0
        120 ||  0  1 1 || 1  0  0  1  0  0
        125 ||  0  1 1 || 1  1  0  1  1  0
        130 ||  0  1 1 || 1  1  0  1  1  0
        135 ||  0  1 1 || 1  1  1  1  1  1
        140 ||  0  1 1 || 1  1  1  1  1  1
